,City Name,Temperature,Humidity,Cloudiness,Wind Speed,Longitude,Latitude
0,atuona,80.11,100.0,80.0,12.12,-9.8,-139.0334
1,khatanga,5.36,83.0,88.0,9.44,71.9801,102.4743
2,salalah,80.6,69.0,0.0,3.36,17.0149,54.0957
3,hobart,51.8,57.0,20.0,12.75,-42.8826,147.3281
4,kutum,87.49,16.0,0.0,4.79,14.2031,24.6617
5,bethel,21.92,88.0,90.0,10.29,60.7922,-161.7559
6,bandarbeyla,78.94,100.0,92.0,15.14,9.4942,50.8122
7,port hardy,48.2,93.0,90.0,12.75,50.6996,-127.4199
8,punta arenas,55.4,70.0,0.0,6.93,-53.1627,-70.9081
9,geraldton,30.2,92.0,90.0,2.24,49.7189,-86.9494
10,albany,57.92,79.0,90.0,25.28,42.6512,-73.755
11,dikson,22.15,92.0,0.0,14.92,73.5069,80.5464
12,qaanaaq,1.67,100.0,0.0,10.83,77.484,-69.3633
13,voyvozh,32.59,95.0,92.0,8.37,62.892,54.9635
14,hithadhoo,82.45,100.0,88.0,6.08,-0.6,73.0833
15,pemba,80.6,74.0,75.0,11.41,-12.9733,40.5221
16,rikitea,74.03,98.0,56.0,19.89,-23.1203,-134.9692
17,new norfolk,51.8,57.0,20.0,12.75,-42.7802,147.0615
18,tessalit,93.2,21.0,0.0,7.54,20.2009,1.014
19,pontal do parana,80.6,69.0,20.0,6.93,-25.6737,-48.5112
20,ponta do sol,82.63,67.0,12.0,13.58,-20.6335,-45.9989
21,laem sing,82.54,79.0,0.0,2.33,12.483,102.0687
22,sechenovo,38.8,75.0,64.0,12.8,55.2244,45.8906
23,chara,66.2,68.0,20.0,9.17,39.4167,22.4309
24,banda aceh,77.63,92.0,92.0,4.85,5.5577,95.3222
25,noyabrsk,24.04,89.0,88.0,16.87,63.2003,75.4476
26,puerto ayora,73.4,78.0,75.0,3.36,-0.7394,-90.3518
27,port elizabeth,57.02,66.0,40.0,18.34,39.3134,-74.9811
28,mahibadhoo,83.57,100.0,80.0,4.9,3.7833,72.9667
29,marsa matruh,77.0,61.0,20.0,8.05,31.3525,27.2453
30,upernavik,23.45,100.0,48.0,11.9,72.7868,-56.1549
31,maniitsoq,14.27,100.0,0.0,5.86,65.4167,-52.9001
32,aklavik,6.8,84.0,5.0,4.7,68.2183,-135.0136
33,china,69.4,61.0,0.0,11.79,25.7059,-99.2397
34,hilo,69.98,97.0,90.0,4.7,19.7072,-155.0817
35,severo-kurilsk,42.71,98.0,80.0,10.33,50.6789,156.125
36,saskylakh,1.0,81.0,68.0,3.22,71.965,114.0939
37,mataura,42.17,81.0,8.0,15.82,-46.1928,168.8643
38,zaragoza,59.0,44.0,20.0,9.17,41.6521,-0.881
39,tuktoyaktuk,5.0,84.0,40.0,10.29,69.444,-133.032
40,bluff,68.41,80.0,0.0,8.14,-23.58,149.0661
41,busselton,58.73,100.0,0.0,14.36,-33.6445,115.3489
42,vostok,37.45,87.0,68.0,3.11,46.448,135.8294
43,nanortalik,31.82,99.0,0.0,24.76,60.1432,-45.2372
44,bredasdorp,78.8,39.0,88.0,6.93,-34.5331,20.0428
45,nikolskoye,50.0,81.0,75.0,11.18,59.7035,30.7861
46,hofn,39.56,100.0,92.0,27.22,64.2539,-15.2082
47,mahebourg,78.8,69.0,75.0,11.41,-20.4081,57.7
48,klaksvik,48.2,100.0,68.0,14.99,62.2266,-6.5891
49,arraial do cabo,84.2,62.0,0.0,18.34,-22.9663,-42.0245
50,vaini,71.6,97.0,88.0,1.61,15.336,74.4926
